Group  Order,Data Group,Data Point,Item Order,Description,API,Difficulty,Notes
0,All,Name (First & Last),1,,Rows,,
0,All,# Times Contacted,2,,Rows,,
0,All,All Emails,3,,Rows,,
0,All,Current Organization,4,,Rows,,
0,All,Current Job Title,5,,Rows,,
0,All,LinkedIn URL,6,,Rows,,
0,All,Twitter URL,7,,Rows,,
0,All,Crunchbase URL,8,,Rows,,
2,Twitter Data,Twitter Photo,1,,Rows,,
2,Twitter Data,Twitter Handle,2,,Rows,,
2,Twitter Data,Twitter Name,3,,Rows,,
2,Twitter Data,Twitter Bio,4,,Rows,,
2,Twitter Data,Twitter Location,5,,Rows,,
2,Twitter Data,Twitter Bio Link URL,6,,Rows,,
2,Twitter Data,Twitter Followers,7,,Rows,,
2,Twitter Data,Twitter Posts,8,,Rows,,
2,Twitter Data,Twitter Verified?,9,,Rows,,
2,Twitter Data,Twitter Listed,10,,Rows,,
2,Twitter Data,Twitter Account Creation Date,11,,Rows,,
3,LinkedIn Data,LI Founder?,1,,Rows,,
3,LinkedIn Data,LI Angel?,2,,Rows,,
3,LinkedIn Data,All LI Titles,4,,Rows,,
3,LinkedIn Data,All Companies Founded,5,,Rows,,
3,LinkedIn Data,All LI Schools,6,,Rows,,
4,PeopleDataLabs Data,Birth Date,1,,,,
4,PeopleDataLabs Data,PDL Location,2,,,,
4,PeopleDataLabs Data,PDL Interests,3,,,,
4,PeopleDataLabs Data,PDL Skills,4,,,,
4,PeopleDataLabs Data,PDL Schools,5,,,,
5,Crunchbase Data,CB Investments,3,,Rows,,
5,Crunchbase Data,CB Investment Count,4,,Rows,,