Short Name,Active,Status,Hashtag,Event Name,Priority Over Tasks?,Order,Window Start,Ideal Time,Window End,Min Duration,Max Duration,Frequency,Times per Week,Days of Week,Ideal Day,Visibility,Time Defense,Time Defense Description,Notifications,CC,Avoid Duplicate Events Keywords,Auto-Decline Interruptions,Notes to Self/EA
Weekly Review,true,Active,#meta,Weekly Review Timeblock #meta,true,1,11:00 AM,12:00 PM,10:00 AM,1 hr,1 hr,Weekly,1,Sun,,Busy,Most Defensive,,true,,"Monthly Review Timeblock, Quarterly Review Timeblock, Annual Review Timeblock",false,
Monthly Review,true,Active,#meta,Monthly Review Timeblock #meta,true,2,11:00 AM,12:00 PM,10:00 AM,4 hrs,4 hrs,Monthly,1,Sun,,Busy,Always Busy,,true,,"Quarterly Review Timeblock, Annual Review Timeblock",false,
Quarterly Planning,false,Test Later,#meta,Quarterly Planning Timeblock #meta,true,3,11:00 AM,12:00 PM,10:00 AM,8 hrs,8 hrs,Quarterly,1,Sun,,Busy,Always Busy,,true,,,false,
Project 1,true,Active,,"Project 1 Timeblock ",true,4,12:00 PM,12:00 PM,6:00 PM,1 hr 30 mins,3 hrs,Weekly,2,"Mon,Tue,Wed,Thu,Fri",,Busy,Always Busy,,true,,"Athena Block, Athena Timeblock, Olympus Block, Olympus Timeblock",false,
Project 2,true,Active,,"Project 2 Timeblock ",true,5,12:00 PM,12:00 PM,6:00 PM,1 hr 30 mins,3 hrs,Weekly,3,"Mon,Wed,Tue,Thu",,Busy,Most Defensive,,true,,"Riva Block, Riva Timeblock",false,
Project 3,true,Active,,"Project 3 Timeblock ",true,6,12:00 PM,12:00 PM,6:00 PM,1 hr 30 mins,3 hrs,Weekly,2,"Tue,Thu",,Busy,Always Busy,,true,,"BeSci Block, BeSci Timeblock, Course Block, Course Timeblock",false,
Personal,true,Active,#passion-projects,Personal Timeblock #passion-projects,true,7,12:00 PM,2:00 PM,6:00 PM,1 hr 30 mins,2 hrs,Weekly,2,"Mon,Tue,Wed,Thu,Fri",,Busy,Always Busy,,true,,"CYHQ, Personal Block, Personal Timeblock, Personal Brand",false,
Strength Training,true,Active,#physical-health,Strength Training Timeblock #physical-health,true,8,10:00 AM,10:00 AM,8:00 AM,1 hr 30 mins,2 hrs,Weekly,4,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,Busy,Always Busy,,true,,"Gym, ST, Mobility, Strength Training",false,
Admin,true,Active,#admin,Admin Timeblock #admin,true,11,12:00 PM,12:00 PM,6:00 PM,30 mins,1 hr,Weekly,5,"Mon,Tue,Wed,Thu,Fri",,Busy,Most Defensive,,true,,,false,
Reading,false,Test Later,#learning+pkm,Reading Timeblock #learning+pkm,true,12,12:00 PM,8:00 PM,10:00 PM,30 mins,1 hr,Daily,7,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,Busy,Always Busy,,true,,,false,
Social Calls,false,Test Later,#relationships,Social Calls Timeblock #relationships,true,13,2:00 PM,6:00 PM,10:00 PM,1 hr,2 hrs,Weekly,2,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,Busy,More Defensive,,true,,"Teddy, Kristen, Arthur, Jonathan, AK, TD, KB, JS, Aymard, AD",false,
Nature,false,Test Later,#mental-health,Nature Timeblock #mental-health,true,14,10:00 AM,12:00 PM,8:00 PM,2 hrs,4 hrs,Weekly,1,"Sat,Sun",Sat,Busy,Always Busy,,true,,,false,
Lunch,true,Test Later,,"Lunch Timeblock ",true,15,11:30 AM,1:00 AM,3:30 AM,1 hr,1 hr,Weekly,1,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,Busy,More Defensive,,true,,,false,
Dinner,true,Active,,"Dinner Timeblock ",true,16,5:30 PM,7:30 PM,9:30 PM,1 hr,1 hr,Weekly,1,"Sun,Mon,Tue,Wed,Thu,Fri,Sat",,Busy,Always Busy,,true,,,false,